IMF1,IMF1Y
-10.05010981,-8.12477746
-8.12477746,-6.1562838
-6.1562838,-4.151498215
-4.151498215,-2.11729009
-2.11729009,-0.060659598
-0.060659598,2.010412013
2.010412013,4.085981077
4.085981077,6.15564602
6.15564602,8.209005271
8.209005271,10.23565726
10.23565726,12.2252004
12.2252004,14.16723314
14.16723314,16.05135389
16.05135389,17.86716108
17.86716108,19.60425315
19.60425315,21.25222851
21.25222851,22.8006856
22.8006856,24.23922284
24.23922284,25.55743866
25.55743866,26.74493148
26.74493148,27.79129974
27.79129974,28.68614186
28.68614186,29.41905627
29.41905627,29.97964139
29.97964139,30.36045576
30.36045576,30.56589833
30.56589833,30.60332816
30.60332816,30.48010431
30.48010431,30.20358584
30.20358584,29.7811318
29.7811318,29.22010126
29.22010126,28.52785327
28.52785327,27.7117469
27.7117469,26.77914119
26.77914119,25.73739522
25.73739522,24.59386803
24.59386803,23.35591869
23.35591869,22.03090625
22.03090625,20.62618978
20.62618978,19.14912834
19.14912834,17.60708097
17.60708097,16.00740675
16.00740675,14.35742717
14.35742717,12.66431352
12.66431352,10.93519955
10.93519955,9.177218977
9.177218977,7.397505547
7.397505547,5.603192992
5.603192992,3.801415048
3.801415048,1.999305449
1.999305449,0.203997932
0.203997932,-1.577373769
-1.577373769,-3.337675918
-3.337675918,-5.069774781
-5.069774781,-6.766536622
-6.766536622,-8.420827705
-8.420827705,-10.0255143
-10.0255143,-11.57346266
-11.57346266,-13.05753906
-13.05753906,-14.47162249
-14.47162249,-15.81364288
-15.81364288,-17.08300596
-17.08300596,-18.28096976
-18.28096976,-19.40925543
-19.40925543,-20.46958407
-20.46958407,-21.46367682
-21.46367682,-22.39325479
-22.39325479,-23.26003912
-23.26003912,-24.06575093
-24.06575093,-24.81211133
-24.81211133,-25.50084146
-25.50084146,-26.13366244
-26.13366244,-26.71229539
-26.71229539,-27.23846145
-27.23846145,-27.71388172
-27.71388172,-28.14027733
-28.14027733,-28.51936942
-28.51936942,-28.8528791
-28.8528791,-29.1425275
-29.1425275,-29.39003574
-29.39003574,-29.59712495
-29.59712495,-29.76551625
-29.76551625,-29.89693076
-29.89693076,-29.99308962
-29.99308962,-30.05571393
-30.05571393,-30.08652483
-30.08652483,-30.08724344
-30.08724344,-30.05959089
-30.05959089,-30.0052883
-30.0052883,-29.92605679
-29.92605679,-29.82361749
-29.82361749,-29.69969152
-29.69969152,-29.55570193
-29.55570193,-18.14857088
-18.14857088,-23.30439398
-23.30439398,-27.88067174
-27.88067174,-10.83806017
-10.83806017,17.32871983
17.32871983,18.93923482
18.93923482,-0.099335515
-0.099335515,-12.5149346
-12.5149346,1.243761943
1.243761943,20.77912352
20.77912352,16.1472231
16.1472231,-27.51575341
-27.51575341,-63.71287994
