DATE,IMF1
2015/2/8 0:00,65.71949242
2015/2/9 0:00,100.9440509
2015/2/10 0:00,102.6182605
2015/2/11 0:00,61.87556289
2015/2/12 0:00,-4.248815175
2015/2/13 0:00,-72.244201
2015/2/14 0:00,-119.1702738
2015/2/15 0:00,-127.0195337
2015/2/16 0:00,-89.27125436
2015/2/17 0:00,-9.01460487
2015/2/18 0:00,82.87995644
2015/2/19 0:00,138.0026544
2015/2/20 0:00,129.4070909
2015/2/21 0:00,45.35515169
2015/2/22 0:00,-70.00692504
2015/2/23 0:00,-113.2180264
2015/2/24 0:00,-51.7278473
2015/2/25 0:00,29.11735908
2015/2/26 0:00,73.52426621
2015/2/27 0:00,55.53125354
2015/2/28 0:00,9.354261561
2015/3/1 0:00,-23.67549982
2015/3/2 0:00,-33.94330411
2015/3/3 0:00,-20.17291848
2015/3/4 0:00,12.04323427
2015/3/5 0:00,35.77870147
2015/3/6 0:00,27.29886867
2015/3/7 0:00,-1.633405807
2015/3/8 0:00,-28.66934401
2015/3/9 0:00,-49.89044218
2015/3/10 0:00,-66.4371308
2015/3/11 0:00,-79.44984036
2015/3/12 0:00,-90.34309099
2015/3/13 0:00,-100.4326657
2015/3/14 0:00,-106.3756334
2015/3/15 0:00,-102.8799093
2015/3/16 0:00,-84.92184342
2015/3/17 0:00,-51.32685862
2015/3/18 0:00,-4.136609871
2015/3/19 0:00,45.73576816
2015/3/20 0:00,81.23901415
2015/3/21 0:00,77.56549338
2015/3/22 0:00,39.23773313
2015/3/23 0:00,-12.28180699
2015/3/24 0:00,-42.74661911
2015/3/25 0:00,-27.29416026
2015/3/26 0:00,9.83268308
2015/3/27 0:00,31.04114208
2015/3/28 0:00,12.48961488
2015/3/29 0:00,-18.40500631
2015/3/30 0:00,-35.03032262
2015/3/31 0:00,-32.83376544
2015/4/1 0:00,-11.50978681
2015/4/2 0:00,16.79881769
2015/4/3 0:00,36.93767339
2015/4/4 0:00,35.59615978
2015/4/5 0:00,8.571359966
2015/4/6 0:00,-19.6429299
2015/4/7 0:00,-27.17808889
2015/4/8 0:00,-17.31279751
2015/4/9 0:00,-0.614753403
2015/4/10 0:00,13.67248965
2015/4/11 0:00,23.0659616
2015/4/12 0:00,26.01522432
2015/4/13 0:00,16.25170823
2015/4/14 0:00,-10.50977515
2015/4/15 0:00,-41.45677474
2015/4/16 0:00,-44.33519072
2015/4/17 0:00,-11.13086037
2015/4/18 0:00,35.94205787
2015/4/19 0:00,57.47661813
2015/4/20 0:00,34.97094497
2015/4/21 0:00,-5.643442561
2015/4/22 0:00,-37.43669234
2015/4/23 0:00,-56.3198312
2015/4/24 0:00,-63.66407884
2015/4/25 0:00,-60.91967237
2015/4/26 0:00,38.98955199
2015/4/27 0:00,43.72100941
2015/4/28 0:00,45.30358566
2015/4/29 0:00,43.11023096
2015/4/30 0:00,36.02453996
2015/5/1 0:00,23.26986209
2015/5/2 0:00,6.153507485
2015/5/3 0:00,-12.61277601
2015/5/4 0:00,-29.85166846
2015/5/5 0:00,-41.46590561
2015/5/6 0:00,-43.5591475
2015/5/7 0:00,-34.94275711
2015/5/8 0:00,-18.79525406
2015/5/9 0:00,0.635362779
2015/5/10 0:00,18.75942397
2015/5/11 0:00,30.90184243
2015/5/12 0:00,33.70803717
2015/5/13 0:00,29.00370303
2015/5/14 0:00,19.52804635
2015/5/15 0:00,7.918524791
2015/5/16 0:00,-3.337078433
2015/5/17 0:00,-12.34967805
2015/5/18 0:00,-17.37986326
2015/5/19 0:00,-17.24754501
2015/5/20 0:00,-13.02871311
2015/5/21 0:00,-6.433846994
2015/5/22 0:00,0.799690641
2015/5/23 0:00,7.091747446
2015/5/24 0:00,11.61238191
2015/5/25 0:00,13.78091312
2015/5/26 0:00,13.29609139
2015/5/27 0:00,10.18961344
2015/5/28 0:00,4.975857869
2015/5/29 0:00,-1.720298997
2015/5/30 0:00,-9.273980828
2015/5/31 0:00,-17.05361007
2015/6/1 0:00,-24.40080428
2015/6/2 0:00,-30.6504798
2015/6/3 0:00,-35.13755296
2015/6/4 0:00,-37.19117541
2015/6/5 0:00,-36.28927886
2015/6/6 0:00,-32.59138538
2015/6/7 0:00,-26.42885579
2015/6/8 0:00,-18.13305092
2015/6/9 0:00,-8.035331607
2015/6/10 0:00,3.532941323
2015/6/11 0:00,16.10179853
2015/6/12 0:00,28.64683666
2015/6/13 0:00,40.00504383
2015/6/14 0:00,49.01340818
2015/6/15 0:00,54.50891782
2015/6/16 0:00,55.5865368
2015/6/17 0:00,52.33345142
2015/6/18 0:00,44.93609845
2015/6/19 0:00,33.54123332
2015/6/20 0:00,18.67017243
2015/6/21 0:00,2.342476219
2015/6/22 0:00,-13.04773388
2015/6/23 0:00,-25.10633644
2015/6/24 0:00,-31.90943885
2015/6/25 0:00,-33.41406385
2015/6/26 0:00,-30.04263933
2015/6/27 0:00,-22.48021978
2015/6/28 0:00,-12.53832136
2015/6/29 0:00,-2.324781936
2015/6/30 0:00,6.048960478
2015/7/1 0:00,10.92811092
2015/7/2 0:00,12.48444655
2015/7/3 0:00,11.38367234
2015/7/4 0:00,8.405158621
2015/7/5 0:00,4.223665623
2015/7/6 0:00,-0.521520161
2015/7/7 0:00,-5.191112232
2015/7/8 0:00,-9.143734531
2015/7/9 0:00,-11.72965275
2015/7/10 0:00,-12.31507464
2015/7/11 0:00,-10.33833442
2015/7/12 0:00,-5.408218378
2015/7/13 0:00,2.112428792
2015/7/14 0:00,11.13083542
2015/7/15 0:00,20.4098532
2015/7/16 0:00,28.71233383
2015/7/17 0:00,34.80112902
2015/7/18 0:00,37.43909045
2015/7/19 0:00,35.6695401
2015/7/20 0:00,29.65768102
2015/7/21 0:00,19.84918653
2015/7/22 0:00,6.689729948
