DATE,IMF1,IMF1Y
2015/3/23,-12.28180699,-42.74661911
2015/3/24,-42.74661911,-27.29416026
2015/3/25,-27.29416026,9.83268308
2015/3/26,9.83268308,31.04114208
2015/3/27,31.04114208,12.48961488
2015/3/28,12.48961488,-18.40500631
2015/3/29,-18.40500631,-35.03032262
2015/3/30,-35.03032262,-32.83376544
2015/3/31,-32.83376544,-11.50978681
2015/4/1,-11.50978681,16.79881769
2015/4/2,16.79881769,36.93767339
2015/4/3,36.93767339,35.59615978
2015/4/4,35.59615978,8.571359966
2015/4/5,8.571359966,-19.6429299
2015/4/6,-19.6429299,-27.17808889
2015/4/7,-27.17808889,-17.31279751
2015/4/8,-17.31279751,-0.614753403
2015/4/9,-0.614753403,13.67248965
2015/4/10,13.67248965,23.0659616
2015/4/11,23.0659616,26.01522432
2015/4/12,26.01522432,16.25170823
2015/4/13,16.25170823,-10.50977515
2015/4/14,-10.50977515,-41.45677474
2015/4/15,-41.45677474,-44.33519072
2015/4/16,-44.33519072,-11.13086037
2015/4/17,-11.13086037,35.94205787
2015/4/18,35.94205787,57.47661813
2015/4/19,57.47661813,34.97094497
2015/4/20,34.97094497,-5.643442561
2015/4/21,-5.643442561,-37.43669234
2015/4/22,-37.43669234,-56.3198312
2015/4/23,-56.3198312,-63.66407884
2015/4/24,-63.66407884,-60.91967237
2015/4/25,-60.91967237,38.98955199
2015/4/26,38.98955199,43.72100941
2015/4/27,43.72100941,45.30358566
2015/4/28,45.30358566,43.11023096
2015/4/29,43.11023096,36.02453996
2015/4/30,36.02453996,23.26986209
2015/5/1,23.26986209,6.153507485
2015/5/2,6.153507485,-12.61277601
2015/5/3,-12.61277601,-29.85166846
2015/5/4,-29.85166846,-41.46590561
2015/5/5,-41.46590561,-43.5591475
2015/5/6,-43.5591475,-34.94275711
2015/5/7,-34.94275711,-18.79525406
2015/5/8,-18.79525406,0.635362779
2015/5/9,0.635362779,18.75942397
2015/5/10,18.75942397,30.90184243
2015/5/11,30.90184243,33.70803717
2015/5/12,33.70803717,29.00370303
2015/5/13,29.00370303,19.52804635
2015/5/14,19.52804635,7.918524791
2015/5/15,7.918524791,-3.337078433
2015/5/16,-3.337078433,-12.34967805
2015/5/17,-12.34967805,-17.37986326
2015/5/18,-17.37986326,-17.24754501
2015/5/19,-17.24754501,-13.02871311
2015/5/20,-13.02871311,-6.433846994
2015/5/21,-6.433846994,0.799690641
2015/5/22,0.799690641,7.091747446
2015/5/23,7.091747446,11.61238191
2015/5/24,11.61238191,13.78091312
2015/5/25,13.78091312,13.29609139
2015/5/26,13.29609139,10.18961344
2015/5/27,10.18961344,4.975857869
2015/5/28,4.975857869,-1.720298997
2015/5/29,-1.720298997,-9.273980828
2015/5/30,-9.273980828,-17.05361007
2015/5/31,-17.05361007,-24.40080428
2015/6/1,-24.40080428,-30.6504798
2015/6/2,-30.6504798,-35.13755296
2015/6/3,-35.13755296,-37.19117541
2015/6/4,-37.19117541,-36.28927886
2015/6/5,-36.28927886,-32.59138538
2015/6/6,-32.59138538,-26.42885579
2015/6/7,-26.42885579,-18.13305092
2015/6/8,-18.13305092,-8.035331607
2015/6/9,-8.035331607,3.532941323
2015/6/10,3.532941323,16.10179853
2015/6/11,16.10179853,28.64683666
2015/6/12,28.64683666,40.00504383
2015/6/13,40.00504383,49.01340818
2015/6/14,49.01340818,54.50891782
2015/6/15,54.50891782,55.5865368
2015/6/16,55.5865368,52.33345142
2015/6/17,52.33345142,44.93609845
2015/6/18,44.93609845,33.54123332
2015/6/19,33.54123332,18.67017243
2015/6/20,18.67017243,2.342476219
2015/6/21,2.342476219,-13.04773388
2015/6/22,-13.04773388,-25.10633644
2015/6/23,-25.10633644,-31.90943885
2015/6/24,-31.90943885,-33.41406385
2015/6/25,-33.41406385,-30.04263933
2015/6/26,-30.04263933,-22.48021978
2015/6/27,-22.48021978,-12.53832136
2015/6/28,-12.53832136,-2.324781936
2015/6/29,-2.324781936,6.048960478
2015/6/30,6.048960478,10.92811092
2015/7/1,10.92811092,12.48444655
2015/7/2,12.48444655,11.38367234
2015/7/3,11.38367234,8.405158621
2015/7/4,8.405158621,4.223665623
2015/7/5,4.223665623,-0.521520161
2015/7/6,-0.521520161,-5.191112232
2015/7/7,-5.191112232,-9.143734531
2015/7/8,-9.143734531,-11.72965275
2015/7/9,-11.72965275,-12.31507464
2015/7/10,-12.31507464,-10.33833442
2015/7/11,-10.33833442,-5.408218378
2015/7/12,-5.408218378,2.112428792
2015/7/13,2.112428792,11.13083542
2015/7/14,11.13083542,20.4098532
2015/7/15,20.4098532,28.71233383
2015/7/16,28.71233383,34.80112902
2015/7/17,34.80112902,37.43909045
2015/7/18,37.43909045,35.6695401
2015/7/19,35.6695401,29.65768102
2015/7/20,29.65768102,19.84918653
2015/7/21,19.84918653,6.689729948
2015/7/22,6.689729948,-9.216333693
2015/7/23,-9.216333693,-26.29259635
2015/7/24,-26.29259635,-41.45466366
2015/7/25,-41.45466366,-51.72585961
2015/7/26,-51.72585961,-55.90968606
2015/7/27,-55.90968606,-53.2362605
2015/7/28,-53.2362605,-43.41573555
2015/7/29,-43.41573555,-28.35483778
2015/7/30,-28.35483778,-10.51404442
2015/7/31,-10.51404442,7.646167291
2015/8/1,7.646167291,23.6653201
2015/8/2,23.6653201,35.44126862
2015/8/3,35.44126862,42.30519481
2015/8/4,42.30519481,43.9550704
2015/8/5,43.9550704,40.44710449
2015/8/6,40.44710449,33.14358667
2015/8/7,33.14358667,23.73121223
2015/8/8,23.73121223,13.76900714
2015/8/9,13.76900714,4.305320307
2015/8/10,4.305320307,-3.838863183
2015/8/11,-3.838863183,-10.24133636
2015/8/12,-10.24133636,-14.57958677
2015/8/13,-14.57958677,-16.53110199
2015/8/14,-16.53110199,-15.9610333
2015/8/15,-15.9610333,-13.48985447
2015/8/16,-13.48985447,-9.944372929
2015/8/17,-9.944372929,-6.074747173
2015/8/18,-6.074747173,-2.305870028
2015/8/19,-2.305870028,1.0186821
2015/8/20,1.0186821,3.555332807
2015/8/21,3.555332807,4.960505686
2015/8/22,4.960505686,4.987768567
2015/8/23,4.987768567,-28.91802538
2015/8/24,-28.91802538,-29.76772961
2015/8/25,-29.76772961,-29.16156346
2015/8/26,-29.16156346,-26.99940686
2015/8/27,-26.99940686,-23.44792935
2015/8/28,-23.44792935,-18.74029168
2015/8/29,-18.74029168,-13.10965462
2015/8/30,-13.10965462,-6.789178898
2015/8/31,-6.789178898,-0.01202528
2015/9/1,-0.01202528,6.988645487
2015/9/2,6.988645487,13.96964071
2015/9/3,13.96964071,20.64181093
2015/9/4,20.64181093,26.68265863
2015/9/5,26.68265863,31.76385726
2015/9/6,31.76385726,35.55708026
2015/9/7,35.55708026,37.7340011
2015/9/8,37.7340011,37.96629322
2015/9/9,37.96629322,36.02936685
2015/9/10,36.02936685,32.11357939
2015/9/11,32.11357939,26.51302499
2015/9/12,26.51302499,19.52179782
2015/9/13,19.52179782,11.43399205
2015/9/14,11.43399205,2.543701835
2015/9/15,2.543701835,-6.854978651
2015/9/16,-6.854978651,-16.44916328
2015/9/17,-16.44916328,-25.85079803
2015/9/18,-25.85079803,-34.64494565
2015/9/19,-34.64494565,-42.38430366
2015/9/20,-42.38430366,-48.61347831
2015/9/21,-48.61347831,-52.9367609
2015/9/22,-52.9367609,-55.23787396
2015/9/23,-55.23787396,-55.6228579
2015/9/24,-55.6228579,-54.23746297
2015/9/25,-54.23746297,-51.22547701
2015/9/26,-51.22547701,-46.73022993
2015/9/27,-46.73022993,-40.90175289
2015/9/28,-40.90175289,-33.91688191
2015/9/29,-33.91688191,-25.95915427
2015/9/30,-25.95915427,-17.21210721
2015/10/1,-17.21210721,-7.86504267
2015/10/2,-7.86504267,1.866230985
2015/10/3,1.866230985,11.74634992
2015/10/4,11.74634992,21.53650258
2015/10/5,21.53650258,30.99787743
2015/10/6,30.99787743,39.89166293
2015/10/7,39.89166293,47.97904752
2015/10/8,47.97904752,55.02121966
2015/10/9,55.02121966,60.7793678
2015/10/10,60.7793678,65.01468041
2015/10/11,65.01468041,67.48834594
2015/10/12,67.48834594,67.96155283
2015/10/13,67.96155283,66.24532329
2015/10/14,66.24532329,62.3896958
2015/10/15,62.3896958,56.65326803
2015/10/16,56.65326803,49.334319
2015/10/17,49.334319,40.73112774
2015/10/18,40.73112774,31.14197328
2015/10/19,31.14197328,20.86513464
2015/10/20,20.86513464,10.19889084
2015/10/21,10.19889084,-0.558479085
2015/10/22,-0.558479085,-11.10869612
2015/10/23,-11.10869612,-21.15830491
2015/10/24,-21.15830491,-30.43523604
2015/10/25,-30.43523604,-38.67700858
2015/10/26,-38.67700858,-45.60883237
2015/10/27,-45.60883237,-50.95231716
2015/10/28,-50.95231716,-54.4763429
2015/10/29,-54.4763429,-56.1388703
2015/10/30,-56.1388703,-55.98241506
2015/10/31,-55.98241506,-54.19859444
2015/11/1,-54.19859444,-51.01616023
2015/11/2,-51.01616023,-46.66382668
2015/11/3,-46.66382668,-41.37030803
2015/11/4,-41.37030803,-35.3664081
2015/11/5,-35.3664081,-28.89128894
2015/11/6,-28.89128894,-22.16817056
2015/11/7,-22.16817056,-15.34814648
2015/11/8,-15.34814648,-8.564278622
2015/11/9,-8.564278622,-1.949628888
2015/11/10,-1.949628888,4.362740807
2015/11/11,4.362740807,10.23976855
2015/11/12,10.23976855,15.54839244
2015/11/13,15.54839244,20.15555056
2015/11/14,20.15555056,23.928181
2015/11/15,23.928181,26.77207682
2015/11/16,26.77207682,28.748451
2015/11/17,28.748451,29.95838423
2015/11/18,29.95838423,30.5070081
2015/11/19,30.5070081,30.50093004
2015/11/20,30.50093004,30.04860978
2015/11/21,30.04860978,29.25897013
2015/11/22,29.25897013,28.2409339
2015/11/23,28.2409339,27.1034239
2015/11/24,27.1034239,25.93693406
2015/11/25,25.93693406,24.75824277
2015/11/26,24.75824277,23.56569956
2015/11/27,23.56569956,22.35765394
2015/11/28,22.35765394,21.13245543
2015/11/29,21.13245543,19.88845355
2015/11/30,19.88845355,18.6239978
2015/12/1,18.6239978,17.33743771
2015/12/2,17.33743771,16.01866487
2015/12/3,16.01866487,14.6334183
2015/12/4,14.6334183,13.17769566
